Tax Knowledge Report

Status: Strukturerad kunskap från Word/parsern. Ingen EDP ändras.
Total: 229

Kategorier:
- Flerbostad/verksamhet: 20
- Hushåll: 75
- Slam: 16
- Tilläggstjänst: 5
- Verksamhetsavfall: 14
- ÅVC/verksamhetsavfall: 99

Faktorhint:
- (tom): 69
- ST: 7
- TILLFÄLLE: 3
- VIKG: 96
- VOLM: 17
- VOLYM/BEHÅLLARE: 37

Details:
- 6.1.2 | Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Träavfall – behandlat, utan tapet, plastmatta, tjärpapp | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Tryckimpregnerat virke, pall | category=ÅVC/verksamhetsavfall waste=Tryckimpregnerat trä unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Betong, lättbetong | category=ÅVC/verksamhetsavfall waste=Betong unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Gips, gipsskivor | category=ÅVC/verksamhetsavfall waste=Gips unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Tegel | category=ÅVC/verksamhetsavfall waste=Tegel unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Fönster- och planglas utan karm | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Plast | category=ÅVC/verksamhetsavfall waste=Plast unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Isolering utan innehåll av asbest | category=ÅVC/verksamhetsavfall waste=Asbest unit=Volym factor=VOLM confidence=1.00
- 6.1.2 | Klinker, keramik, porslin | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Handfat | category=ÅVC/verksamhetsavfall waste= unit=Styck factor=ST confidence=0.75
- 6.1.2 | WC-stol | category=ÅVC/verksamhetsavfall waste= unit=Styck factor=ST confidence=0.75
- 6.1.2 | Metall | category=ÅVC/verksamhetsavfall waste=Metall unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Textilier | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Fiskeredskap | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Ätbart fett/frityrolja | category=ÅVC/verksamhetsavfall waste= unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=0.75
- 6.1.2 | Kvistar och grenar | category=ÅVC/verksamhetsavfall waste= unit=Volym factor=VOLM confidence=0.75
- 6.1.2 | Flera fraktioner för egen sortering på ramp (max 2 m³) | category=ÅVC/verksamhetsavfall waste= unit=Volym factor=VOLM confidence=0.75
- 6.1.2 | Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall) | category=ÅVC/verksamhetsavfall waste=Elavfall unit= factor= confidence=0.75
- 6.1.2 | Tonerkassetter, utan elektronik/chip | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Oljeemulsion, emballerat | category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Förorenad olja innehållande PCB | category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Oljeavskiljarslam | category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Diesel | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Bensinrester | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Hydralslang, med/utan koppling | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Förpackningar, tömde ej rengjorda | category=ÅVC/verksamhetsavfall waste=Förpackningar unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Oljeavfall, fast osorterat emba | category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Absorbermedel, filtermaterial | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Oljefilter | category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Bromsvätska | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Transformator, kondensator med PCB | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Fogskum | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Halon | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Koldioxid | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Brandsläckare | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Helium | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Tändare | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Syrgas | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Oxiderande fast ämne/vätska | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Klorex | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Aerosoler isocyanat, bekämpning | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Gasol inkl tub | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Gasol, blå programmet | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Giftig organisk vätska | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Småkemikalier, ej Hg-haltiga | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Giftig oorganisk vätska | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Oxidationsmedel, flytande | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Asbest, emballerat | category=ÅVC/verksamhetsavfall waste=Asbest unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Smittförande avfall | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Lösningsmedel | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Väteperoxid | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Flourvätesyra | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Svavelsyra | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Salpetersyra | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Surt oorganisk fast ämne | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Surt organisk fast ämne | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Surt oorganisk vätska | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Surt organisk vätska | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Ammoniaklösning | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Alkaliskt avfall fast | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Basiskt organiskt fast/flytande | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Fotokemikalier | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Bekämpningsmedel aerosoler | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Bekämpningsmedel fast | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Bekämpningsmedel flytande | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Kvicksilverhaltigt avfall | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Kvicksilver i föremål | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Oljehaltigt avfall (ej PCB) | category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 6.1.2 | Olja förorenad (ej PCB) | category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE confidence=1.00
- 6.1.2 | Färg-, lack-, limburkar lösning | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Färg-, lack-, limburkar lösning aerosoler | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Isocyanater | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Härdare metyl- etylketonperoxid | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Härdare dibenzoylperoxid | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Färg-,lack-, limburkar vattenbaserade | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Tensida alkaliska flytande avfall | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Rengöring/vaskmedel fast | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Alkaliska flytande avfall | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Cytotoxiska läkemedel, cytostat | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Rökdetektor med andra isotoper | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Rökdetektor med Am 241 | category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG confidence=0.75
- 6.1.2 | Batterier stav, pencell | category=ÅVC/verksamhetsavfall waste=Batterier unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Batterier lithium | category=ÅVC/verksamhetsavfall waste=Batterier unit=Vikt factor=VIKG confidence=1.00
- 6.1.2 | Bil-, mcbatteri med bly | category=ÅVC/verksamhetsavfall waste= unit=Styck factor=ST confidence=0.75
