Tax Decision Report

Priority:
1. Bekräftad kommun-EDP / Taxa_från_edp
2. Word-taxa
3. Standardtaxor endast som förslag
4. Manuell granskning

Total: 241
EDP_MATCH: 0
STANDARD_PROPOSAL: 0
REVIEW_REQUIRED: 113
NEW_TAXA: 128

Details:
- NEW_TAXA | 2.2.6 | Kärl 660 l (restavfall) | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.50 justerad=0.55. Matchar category: Hushåll, waste_type: Restavfall. Skillnader service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.2.6 | Kärl 140 l (matavfall) | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.40 justerad=0.45. Matchar category: Hushåll, container_type: Kärl. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.2.6 | Bottentömmande behållare (mat-/restavfall) | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- REVIEW_REQUIRED | 2.2.6 | Lastväxlarflak (restavfall) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.64 justerad=0.69. Matchar category: Hushåll, waste_type: Matavfall, container_type: Kärl, container_volume_liter: 240. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='Behållarvolym', factor_hint: Word='VIKG' kandidat='VOLYM/BEHÅLLARE'
- NEW_TAXA | 2.2.7 | Kärl 140 l (kontors-/returpapper) | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.67 justerad=0.71. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 240. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='Behållarvolym', factor_hint: Word='VIKG' kandidat='ÅRKV'
- REVIEW_REQUIRED | 2.2.7 | Egen överlämning av förbrukat kontors-/returpapper enligt anvisning | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.74 justerad=0.79. Matchar category: Hushåll, waste_type: Matavfall, service_type: Extra, container_type: Kärl, container_volume_liter: 140. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='Behållarvolym', factor_hint: Word='VIKG' kandidat='VOLYM/BEHÅLLARE'
- REVIEW_REQUIRED | 2.2.7 | Egen överlämning av förbrukat matfett enligt anvisning | source=Taxepunkter rule=Semantisk kandidat finns men säkerheten räcker inte för förslag edp= standard= | Granska kandidat manuellt. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.74 justerad=0.79. Matchar category: Hushåll, waste_type: Restavfall, service_type: Extra, container_type: Kärl, container_volume_liter: 190. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='Behållarvolym', factor_hint: Word='VIKG' kandidat='VOLYM/BEHÅLLARE'
- REVIEW_REQUIRED | 2.3 | Viktavgift matavfall | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.67 justerad=0.71. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 370. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='Behållarvolym', factor_hint: Word='VIKG' kandidat='VOLYM/BEHÅLLARE'
- REVIEW_REQUIRED | 2.3 | Viktavgift restavfall | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.67 justerad=0.71. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 660. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='Behållarvolym', factor_hint: Word='VIKG' kandidat='VOLYM/BEHÅLLARE'
- NEW_TAXA | 2.3 | Lyftavgift kärl | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.40 justerad=0.45. Matchar category: Hushåll, container_type: Kärl. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat=''
