Status;Source;Rule;Confidence;Paragraf;Taxapunkt;Variant;Enhet;Excel rad;EDP taxakod;Standard taxakod;Kommentar
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.470;6.1.2;Tv, radio, skärm, skrivare utan färgpatron;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.42 justerad=0.47. Matchar category: ÅVC/verksamhetsavfall, service_type: Abonnemang, unit_type: Vikt, factor_hint: VIKG. Skillnader waste_type: Word='' kandidat='Elavfall'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.430;6.1.2;Kyl-, frysskåp, -box;;styck;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.38 justerad=0.43. Matchar category: ÅVC/verksamhetsavfall, waste_type: Kyl/frys. Skillnader unit_type: Word='Styck' kandidat='Vikt', factor_hint: Word='ST' kandidat='VIKG'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.550;6.1.2;Kyl-, frysskåp, -box från verksamhet;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.50 justerad=0.55. Matchar category: ÅVC/verksamhetsavfall, waste_type: Kyl/frys, unit_type: Vikt, factor_hint: VIKG. Skillnader property_type: Word='Verksamhet' kandidat=''
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.305;6.1.2;Spis, tvätt-, diskmaskin;;styck;;;;Bästa kandidat var för svag. Kandidat=STANDARD KÄ140RE26V score=0.30 justerad=0.30. Matchar category: ÅVC/verksamhetsavfall. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Abonnemang', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='140'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.395;6.1.2;Spis, tvätt-, diskmaskin från verksamhet;;kilogram;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.40. Matchar category: ÅVC/verksamhetsavfall, unit_type: Vikt, factor_hint: VIKG. Skillnader waste_type: Word='' kandidat='Elavfall', service_type: Word='' kandidat='Abonnemang', property_type: Word='Verksamhet' kandidat=''
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.450;6.1.3;Container X m3;;m³;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.40 justerad=0.45. Matchar category: Verksamhetsavfall, container_type: Container, unit_type: Volym, factor_hint: VOLM. Skillnader container_volume_liter: Word='' kandidat='3m3'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.450;6.1.3;Container X m3;;m³;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.40 justerad=0.45. Matchar category: Verksamhetsavfall, container_type: Container, unit_type: Volym, factor_hint: VOLM. Skillnader container_volume_liter: Word='' kandidat='3m3'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.450;6.1.3;Container X m3;;m³;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.40 justerad=0.45. Matchar category: Verksamhetsavfall, container_type: Container, unit_type: Volym, factor_hint: VOLM. Skillnader container_volume_liter: Word='' kandidat='3m3'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.360;6.1.3;Omklassning av felsorterad container;;container;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.31 justerad=0.36. Matchar category: Verksamhetsavfall, container_type: Container. Skillnader container_volume_liter: Word='' kandidat='3m3', unit_type: Word='' kandidat='Volym', factor_hint: Word='' kandidat='VOLM'
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.470;6.1.4;Okänt farligt avfall (säkerhetsdatablad saknas);;fraktion;;;;Bästa kandidat var för svag. Kandidat=RULE:EDP EJKLASSFA score=0.37 justerad=0.47. Matchar waste_type: Farligt avfall, service_type: Abonnemang. Skillnader category: Word='Verksamhetsavfall' kandidat='Okänd', unit_type: Word='' kandidat='Tillfälle', factor_hint: Word='' kandidat='KVAN'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.510;6.1.4;Ombud för rapportering av farligt avfall i Avfallsregistret;;tillfälle;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.46 justerad=0.51. Matchar waste_type: Farligt avfall, service_type: Abonnemang, unit_type: Tillfälle, factor_hint: TILLFÄLLE. Skillnader category: Word='Verksamhetsavfall' kandidat='Hushåll'
REVIEW_REQUIRED;Taxepunkter;Bästa semantiska kandidat saknar taxekod;0.310;6.1.4;Administrativ rapporteringsavgift till Avfallsregistret;;tillfälle;;;;Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.26 justerad=0.31. Matchar category: Verksamhetsavfall, unit_type: Tillfälle, factor_hint: TILLFÄLLE
NEW_TAXA;SemanticDecisionEngine;Ingen kandidat över granskningsgräns;0.340;6.1.4;Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen;;tillfälle;;;;Bästa kandidat var för svag. Kandidat=RULE:EDP KÄ240RK26FRI score=0.24 justerad=0.34. Matchar service_type: Abonnemang. Skillnader category: Word='Verksamhetsavfall' kandidat='Okänd', waste_type: Word='' kandidat='Restavfall', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
