tax_code;attribute_key;attribute_count;materials;waste_types;units;container_types;intervals;property_types;source;source_text
TEST240FFG13;GLAS|FÄRGAT GLAS,OFÄRGAT GLAS|LITER|KÄRL;5;GLAS;FÄRGAT GLAS,OFÄRGAT GLAS;LITER;KÄRL;;;RULE:Taxa_från_edp:338;240 kärl/4:e vecka 2-delat kärl färgat o ofärgat glas TEST Okänd ÅRKV TEST240FFG13 | 240 kärl/4:e vecka 2-delat kärl färgat o ofärgat glas TEST | ÅRKV | 240 l kärl/4 vecka test glas färgat ofärgat | antb
TEST240FFG13;GLAS|FÄRGAT GLAS,OFÄRGAT GLAS|LITER|KÄRL;5;GLAS;FÄRGAT GLAS,OFÄRGAT GLAS;LITER;KÄRL;;;RULE:Taxa_från_edp:339;240 kärl/4:e vecka 2-delat kärl färgat o ofärgat glas TEST Okänd KVAN TEST240FFG13 | 240 kärl/4:e vecka 2-delat kärl färgat o ofärgat glas TEST | KVAN | 240 l kärl - viktavgift färgat och ofärgat test | vikg
;GLAS|TON|VERKSAMHET;3;GLAS;;TON;;;VERKSAMHET;RULE:Taxepunkter:268;Planglas (fönster utan karm) ÅVC/verksamhetsavfall Vikt VIKG §6.1.2 | §6.1.2 | Planglas (fönster utan karm) |  | kr/ton |  |  |  |  |  |  | 
GROVAVFALL;GROVAVFALL;1;;GROVAVFALL;;;;;RULE:Taxa_från_edp:29;Tjänsttaxa för grovavfall Okänd ÅRKV GROVAVFALL | Tjänsttaxa för grovavfall | ÅRKV | Tjänsttaxa för grovavfall | 0
GROVBUD;GROVAVFALL|HÄMTNING;2;;GROVAVFALL;HÄMTNING;;;;STANDARD:Standard Avfall:198;Hämtning grovavfall, budning KVAN ANTL
GROVBUD;GROVAVFALL|M3;2;;GROVAVFALL;M3;;;;RULE:Taxa_från_edp:107;Budning av grovavfall per m³ Okänd KVAN GROVBUD | Budning av grovavfall per m³ | KVAN | Budning av grovavfall per m³ | KBMÖ
GRBUD;GROVAVFALL|M3,HÄMTNING;3;;GROVAVFALL;M3,HÄMTNING;;;;RULE:Taxa_från_edp:106;Budad hämtning, grovavfall. Pris per m³ Okänd KVAN GRBUD | Budad hämtning, grovavfall. Pris per m³ | KVAN | Budad hämtning, grovavfall. Pris per m³ | KBMÖ
;HÄMTNING;1;;;HÄMTNING;;;;RULE:Dokumentation_Taxepunkter:5;D | Variant | Manuell | Word | Anger t.ex. Hämtning varje vecka, Avgift per tömning, var 14:e dag. | Ja
;HÄMTNING;1;;;HÄMTNING;;;;RULE:Taxepunkter:171;Hushåll §2.5.1 Budning för fastighetsnära hämtning av kommunalt avfall | §2.5.1 Budning för fastighetsnära hämtning av kommunalt avfall |  |  |  |  |  |  |  |  |  | 
;HÄMTNING;1;;;HÄMTNING;;;;RULE:Taxepunkter:210;Tilläggstjänst §4.1 Budad hämtning fosforfilter | §4.1 Budad hämtning fosforfilter |  |  |  |  |  |  |  |  |  | 
;HÄMTNING;1;;;HÄMTNING;;;;RULE:Taxepunkter:220;Avgift om hämtning ej kan utföras pga hinder, bristande väg eller vägran Tilläggstjänst Tillfälle TILLFÄLLE §4.2 | §4.2 | Avgift om hämtning ej kan utföras pga hinder, bristande väg eller vägran |  | kr/tillfälle |  |  |  |  |  |  | 
