Word Tax Coverage Report

KRAV:
Alla taxor som hittas i Word måste finnas som egen rad i Taxepunkter.
Detta gäller oavsett om Taxa_från_edp är tom eller saknar matchning.

Total parser rows: 241
COVERED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- MISSING | no Taxepunkter row | 4.2 | Krav på närvaro vid specificerad hämtningstid | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 4.2 | Hantering av kod för kodlås | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.1 | Upp till 3 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.1 | Mellan 3 m3 och 6 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.1 | Över 6 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Dragning av extra slang vid 5-25 m | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Dragning av extra slang vid 25-35 m | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Dragning av extra slang vid 36-45 m | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Dragning av extra slang vid 46-55 m | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Hantering av brunnslock som väger 15-25 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Krav på information om tömningstid | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Krav på närvaro vid specificerad tömningstid | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Hantering av kod för kodlås vid tömning | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Hetvattentvätt med spolbil, timersättning | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Silikontätning per lock | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.2 | Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 5.3 | Budning utanför ordinarie tömningsperiod | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- COVERED | section+tax_point | 6.1.1 | Verksamheter | excel_row=246 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
