Taxepunkter Row Build Plan

KRAV:
Alla taxor som hittas i Word/parsern ska finnas som egen rad i Taxepunkter.
EDP-data kompletterar endast raden efteråt.

Parser rows: 241
REUSE: 78
CREATE: 136
REVIEW: 27
Coverage plan valid: True

Details:
- CREATE | word tax missing from Taxepunkter | 3.3 | Tömning av toalettvagnar eller liknande /styck | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 3.4 | Latrinbehållare 37 liter inkl. mottagning och behandling | excel_row=208 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 4.1 | Filtermassor upp till 500 kg | excel_row=211 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REVIEW | multiple section+tax_point rows | 4.1 | Filtermassor 500-1000 kg | excel_row=212 tax_code= | 2 befintliga rader delar paragraf+taxapunkt
- REUSE | section+tax_point | 4.2 | Krav på information om hämtningstid | excel_row=217 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 4.2 | Krav på närvaro vid specificerad hämtningstid | excel_row=218 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 4.2 | Hantering av kod för kodlås | excel_row=219 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 5.1 | Upp till 3 m3 | excel_row=223 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REVIEW | multiple section+tax_point rows | 5.1 | Mellan 3 m3 och 6 m3 | excel_row=224 tax_code= | 2 befintliga rader delar paragraf+taxapunkt
- REVIEW | multiple section+tax_point rows | 5.1 | Över 6 m3 | excel_row=225 tax_code= | 2 befintliga rader delar paragraf+taxapunkt
- REUSE | section+tax_point | 5.2 | Dragning av extra slang vid 5-25 m | excel_row=231 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 5.2 | Dragning av extra slang vid 25-35 m | excel_row=232 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 5.2 | Dragning av extra slang vid 36-45 m | excel_row=233 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 5.2 | Dragning av extra slang vid 46-55 m | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 5.2 | Hantering av brunnslock som väger 15-25 kg | excel_row=235 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 5.2 | Krav på information om tömningstid | excel_row=236 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 5.2 | Krav på närvaro vid specificerad tömningstid | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 5.2 | Hantering av kod för kodlås vid tömning | excel_row=238 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 5.2 | Hetvattentvätt med spolbil, timersättning | excel_row=239 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
