Word Excel Mapping Report

Syfte:
Skapar spårbar mappning mellan varje Word/parser-taxa och motsvarande rad i Taxepunkter.
Block50: varje rad får både sectionsbundet WordTaxID och sectionsoberoende StableTaxIdentity.

Regler:
- Word-master ändras aldrig.
- Excel-master ändras aldrig.
- Taxepunkter A:E ändras aldrig automatiskt.
- Taxa_från_edp ändras aldrig.
- Samma EDP-taxa kan användas av flera Word-rader utan att det automatiskt är fel.
- StableTaxIdentity används för att känna igen samma taxepunkt även om den flyttas mellan paragrafer.

Total Word rows: 241
MAPPED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- WTX-2-4-5-80B57497-01 | WTX-STABLE-65F272CDF9 | MISSING | no Taxepunkter row | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 370–660 liter | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-5-240D8EBA-01 | WTX-STABLE-05619E4994 | MAPPED | section+tax_point | 2.4.5 | Ytterligare byte av kärl under kalenderåret | excel_row=129 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-6-98CF8ADC-01 | WTX-STABLE-4558A6004A | MAPPED | section+tax_point | 2.4.6 | Kärl | excel_row=131 tax_code=FELSORT | Word-raden finns i Taxepunkter men variant eller enhet skiljer. Samma EDP-taxa (FELSORT) används av 2 Word-rader. Det är tillåtet och ska inte klassas som fel utan annan konflikt.
- WTX-2-4-6-82A21ADE-01 | WTX-STABLE-6210BAD518 | MAPPED | section+tax_point | 2.4.6 | Bottentömmande behållare | excel_row=132 tax_code=FELSORT | Word-raden finns i Taxepunkter men variant eller enhet skiljer. Samma EDP-taxa (FELSORT) används av 2 Word-rader. Det är tillåtet och ska inte klassas som fel utan annan konflikt. Stabil identitet WTX-STABLE-6210BAD518 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-4-7-542399A3-01 | WTX-STABLE-7C22999494 | MISSING | no Taxepunkter row | 2.4.7 | Kärl 140-660 L 1,5-10 | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-7-AE7199F4-01 | WTX-STABLE-4078B50D10 | MISSING | no Taxepunkter row | 2.4.7 | Kärl 140-660 L 10-20 | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-7-AEEF240E-01 | WTX-STABLE-FB52C8060A | MISSING | no Taxepunkter row | 2.4.7 | Kärl 140-660 L 20-30 | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-7-B8941668-01 | WTX-STABLE-176906B34F | MISSING | no Taxepunkter row | 2.4.7 | Avfallsport/dörr | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-4-7-5A487AC8-01 | WTX-STABLE-38DCB37C2F | MAPPED | section+tax_point | 2.4.7 | Låst dörr, med kod | excel_row=138 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-8-5A04F7EA-01 | WTX-STABLE-525DBBDFF9 | MAPPED | section+tax_point | 2.4.8 | Kärl 140 l matavfall | excel_row=140 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-8-FDB20231-01 | WTX-STABLE-F4431FDB52 | MAPPED | section+tax_point | 2.4.8 | Kärl 190 l restavfall | excel_row=141 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-8-68320C3D-01 | WTX-STABLE-33FB12BEB6 | MAPPED | section+tax_point | 2.4.8 | Kärl 370 l restavfall | excel_row=142 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-8-84E77559-01 | WTX-STABLE-B9CF34FB66 | MAPPED | section+tax_point | 2.4.8 | Kärl 660 l restavfall | excel_row=143 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-8-DFCC4F8B-01 | WTX-STABLE-6210BAD518 | MISSING | no Taxepunkter row | 2.4.8 | Bottentömmande behållare | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter. Stabil identitet WTX-STABLE-6210BAD518 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-4-9-0E177E9C-01 | WTX-STABLE-D2A92E071B | MAPPED | section+tax_point | 2.4.9 | Sidlastande fordon | excel_row=146 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-9-75C122DA-01 | WTX-STABLE-D3C42F1E68 | MAPPED | section+tax_point | 2.4.9 | Bottentömmande fordon | excel_row=147 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-9-C63CCE75-01 | WTX-STABLE-9F3F988F28 | MAPPED | section+tax_point | 2.4.9 | Tömningsavgift per behållare | excel_row=148 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-10-73F6F336-01 | WTX-STABLE-2111F62175 | MAPPED | section+tax_point | 2.4.10 | Betalsäck | excel_row=150 tax_code=BETALSÄCK | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-10-58F70F4D-01 | WTX-STABLE-76BB9B6F49 | MAPPED | section+tax_point | 2.4.10 | Akutsäck | excel_row=151 tax_code=AKUTSÄCK | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-11-E2BEF277-01 | WTX-STABLE-7B9E0F85AF | MAPPED | section+tax_point | 2.4.11 | Matavfallspåsar 9 L | excel_row=153 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-11-3738275A-01 | WTX-STABLE-0585B78FE7 | MAPPED | section+tax_point | 2.4.11 | Matavfallspåsar 22 L | excel_row=154 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-11-C25C860D-01 | WTX-STABLE-8620BBEE68 | MAPPED | section+tax_point | 2.4.11 | Gravitationslås till kärl | excel_row=155 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-4-11-B3C061B1-01 | WTX-STABLE-6F80BDAF21 | MAPPED | section+tax_point | 2.4.11 | Extra nyckel till gravitationslås | excel_row=156 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-5-1-E71D5E74-01 | WTX-STABLE-F6DFCC9860 | MAPPED | section+tax_point | 2.5.1 | Kommunalt avfall | excel_row=159 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-5-1-4D6E9911-01 | WTX-STABLE-2C957F1596 | MAPPED | section+tax_point | 2.5.1 | Farligt avfall (ej uppmärkt) | excel_row=160 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-5-1-91EFCB49-01 | WTX-STABLE-0134B8BBB4 | REVIEW | multiple section+tax_point rows | 2.5.1 | Farligt avfall (uppmärkt) | excel_row=161 tax_code= | 2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
- WTX-2-5-1-0CDDF608-01 | WTX-STABLE-FD386A58AF | MISSING | no Taxepunkter row | 2.5.1 | Avisering av ankomst | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-3-1-72F9E607-01 | WTX-STABLE-2CA3B01AF8 | MISSING | no Taxepunkter row | 3.1 | Upp till 3 m3 | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter. Stabil identitet WTX-STABLE-2CA3B01AF8 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-3-1-FB70AF63-01 | WTX-STABLE-49F4634210 | MISSING | no Taxepunkter row | 3.1 | Mellan 3 m3 och 6 m3 | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter. Stabil identitet WTX-STABLE-49F4634210 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-3-1-8DD57ED4-01 | WTX-STABLE-AB9792A76E | MISSING | no Taxepunkter row | 3.1 | Mellan 6 m3 och 9 m3 | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-3-1-AAD165CE-01 | WTX-STABLE-1D30C34284 | MISSING | no Taxepunkter row | 3.1 | Tillägg per m3 över 9 m3 | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
