Kategori;Avfallstyp;Enhetstyp;Faktorhint;Behållarvolym liter;Word feature count;Standard row count;Exempel Word-taxor;Exempel standardtaxor
ÅVC/verksamhetsavfall;;Styck;ST;;4;0;6.1.2 Handfat | 6.1.2 WC-stol | 6.1.2 Bil-, mcbatteri med bly | 6.1.2 Spis, tvätt-, diskmaskin;
ÅVC/verksamhetsavfall;;Styck;ST;240;1;0;6.1.2 Avfall till energiåtervinning (240 L sopsäck);
ÅVC/verksamhetsavfall;;Vikt;KVAN;;0;2;;B100 Behandling brännbart avfall, pris per kilo | BBRÄNNBART Behandling brännbart avfall, pris per kilo
ÅVC/verksamhetsavfall;;Vikt;VIKG;;67;0;6.1.2 Avfall till energiåtervinning | 6.1.2 Skrymmande avfall till energiåtervinning större än 20×20×80 | 6.1.2 Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp | 6.1.2 Träavfall – behandlat, utan tapet, plastmatta, tjärpapp | 6.1.2 Fönster- och planglas utan karm;
ÅVC/verksamhetsavfall;;Volym;VOLM;;2;0;6.1.2 Kvistar och grenar | 6.1.2 Flera fraktioner för egen sortering på ramp (max 2 m³);
ÅVC/verksamhetsavfall;Asbest;Vikt;VIKG;;1;0;6.1.2 Asbest, emballerat;
ÅVC/verksamhetsavfall;Asbest;Volym;VOLM;;1;0;6.1.2 Isolering utan innehåll av asbest;
ÅVC/verksamhetsavfall;Batterier;Vikt;VIKG;;2;0;6.1.2 Batterier stav, pencell | 6.1.2 Batterier lithium;
ÅVC/verksamhetsavfall;Betong;Vikt;VIKG;;1;0;6.1.2 Betong, lättbetong;
ÅVC/verksamhetsavfall;Elavfall;;;;1;0;6.1.2 Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall);
ÅVC/verksamhetsavfall;Elavfall;Vikt;VIKG;;3;0;6.1.2 Elavfall, små elektronik | 6.1.2 El-avfall fast installation | 6.1.2 El-avfall kabel;
ÅVC/verksamhetsavfall;Förpackningar;Vikt;VIKG;;1;0;6.1.2 Förpackningar, tömde ej rengjorda;
ÅVC/verksamhetsavfall;Gips;Vikt;VIKG;;1;0;6.1.2 Gips, gipsskivor;
ÅVC/verksamhetsavfall;Kyl/frys;Styck;ST;;1;0;6.1.2 Kyl-, frysskåp, -box;
ÅVC/verksamhetsavfall;Kyl/frys;Vikt;VIKG;;1;0;6.1.2 Kyl-, frysskåp, -box från verksamhet;
ÅVC/verksamhetsavfall;Matavfall;;KVAN;;0;3;;MB800MABUD Markbehållare 0,8 m³, matavfall. Budning | MB1300MABUD Markbehållare 1,3 m³, matavfall. Budning | MB1600MABUD Markbehållare 1,6m³, matavfall. Budning
ÅVC/verksamhetsavfall;Matavfall;;ÅRKV;;0;13;;MB800MA104 Markbehållare 0,8 m³, matavfall. 2ggr/ vecka | MB800MA52 Markbehållare 0,8 m³, matavfall. Varje vecka | MB800MA26 Markbehållare 0,8 m³, matavfall. Var 14:e dag | MB800MA13 Markbehållare 0,8 m³, matavfall. Var 4:e vecka | MB1300MA104 Markbehållare 1,3 m³, matavfall. 2ggr/ vecka
ÅVC/verksamhetsavfall;Matavfall;Behållarvolym;KVAN;370;0;1;;KÄMABUD Kärl 140-370 L, matavfall. Budning
ÅVC/verksamhetsavfall;Matavfall;Behållarvolym;ÅRKV;140;0;9;;KÄ140MA156 Kärl 140 L, matavfall. 3ggr/ vecka | KÄ140MA104 Kärl 140 L, matavfall. 2ggr/ vecka | KÄ140MA52 Kärl 140 L, matavfall. Varje vecka | KÄ140MA26 Kärl 140 L, matavfall. Var 14:e dag | KÄ140MA13 Kärl 140 L, matavfall. Var 4:e vecka
ÅVC/verksamhetsavfall;Matavfall;Behållarvolym;ÅRKV;190;0;9;;KÄ190MA156 Kärl 190 L, matavfall. 3ggr/ vecka | KÄ190MA104 Kärl 190 L, matavfall. 2ggr/ vecka | KÄ190MA52 Kärl 190 L, matavfall. Varje vecka | KÄ190MA26 Kärl 190 L, matavfall. Var 14:e dag | KÄ190MA13 Kärl 190 L, matavfall. Var 4:e vecka
ÅVC/verksamhetsavfall;Matavfall;Behållarvolym;ÅRKV;240;0;9;;KÄ240MA156 Kärl 240 L, matavfall. 3ggr/ vecka | KÄ240MA104 Kärl 240 L, matavfall. 2ggr/ vecka | KÄ240MA52 Kärl 240 L, matavfall. Varje vecka | KÄ240MA26 Kärl 240 L, matavfall. Var 14:e dag | KÄ240MA13 Kärl 240 L, matavfall. Var 4:e vecka
ÅVC/verksamhetsavfall;Matavfall;Behållarvolym;ÅRKV;370;0;9;;KÄ370MA156 Kärl 370 L, matavfall. 3ggr/ vecka | KÄ370MA104 Kärl 370 L, matavfall. 2ggr/ vecka | KÄ370MA52 Kärl 370 L, matavfall. Varje vecka | KÄ370MA26 Kärl 370 L, matavfall. Var 14:e dag | KÄ370MA13 Kärl 370 L, matavfall. Var 4:e vecka
ÅVC/verksamhetsavfall;Metall;Vikt;VIKG;;1;0;6.1.2 Metall;
ÅVC/verksamhetsavfall;Oljeavfall;Behållarvolym;VOLYM/BEHÅLLARE;;2;0;6.1.2 Oljehaltigt avfall (ej PCB) | 6.1.2 Olja förorenad (ej PCB);
ÅVC/verksamhetsavfall;Oljeavfall;Vikt;VIKG;;5;0;6.1.2 Oljeemulsion, emballerat | 6.1.2 Förorenad olja innehållande PCB | 6.1.2 Oljeavskiljarslam | 6.1.2 Oljeavfall, fast osorterat emba | 6.1.2 Oljefilter;
ÅVC/verksamhetsavfall;Plast;Vikt;VIKG;;1;0;6.1.2 Plast;
