Status;Metod;Score;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
PROBABLE;section+tax_point;0.900;2.4.8;Kärl 190 l restavfall;;kärl;141;Kärl 190 l restavfall;;st/period;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.8;Kärl 370 l restavfall;;kärl;142;Kärl 370 l restavfall;;st/period;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.8;Kärl 660 l restavfall;;kärl;143;Kärl 660 l restavfall;;st/period;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;2.4.8;Bottentömmande behållare;;;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;2.4.9;Sidlastande fordon;;;146;Sidlastande fordon;;st/tillfälle;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.9;Bottentömmande fordon;;;147;Bottentömmande fordon;;st/tillfälle;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.9;Tömningsavgift per behållare;;;148;Tömningsavgift per behållare;;st/tillfälle;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.10;Betalsäck;;;150;Betalsäck;;st/säck;BETALSÄCK;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.10;Akutsäck;;;151;Akutsäck;;st/säck;AKUTSÄCK;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.11;Matavfallspåsar 9 L;;;153;Matavfallspåsar 9 L;;bunt;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.11;Matavfallspåsar 22 L;;;154;Matavfallspåsar 22 L;;bunt;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.11;Gravitationslås till kärl;;kärl;155;Gravitationslås till kärl;;st;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.4.11;Extra nyckel till gravitationslås;;;156;Extra nyckel till gravitationslås;;st;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.5.1;Kommunalt avfall;;;159;Kommunalt avfall;;st/tillfälle;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;2.5.1;Farligt avfall (ej uppmärkt);;;160;Farligt avfall (ej uppmärkt);;st/tillfälle;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;2.5.1;Farligt avfall (uppmärkt);;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;2.5.1;Avisering av ankomst;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.1;Upp till 3 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.1;Mellan 3 m3 och 6 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.1;Mellan 6 m3 och 9 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.1;Tillägg per m3 över 9 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.1;Bad-, disk- och tvättbrunn upp till 3 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.1;Tillägg per m3 över 3 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Dragning av extra slang vid 5-25 m;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Dragning av extra slang vid 25-35 m;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Dragning av extra slang vid 36-45 m;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Dragning av extra slang vid 46-55 m;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Krav på information om tömningstid;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Krav på närvaro vid specificerad tömningstid;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Hantering av kod för kodlås vid slamtömning;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Hetvattentvätt med spolbil, timersättning;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.2;Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.3;Budning utanför ordinarie tömningsperiod (1 nov – 30 april);;;;;;;;Ny rad behövs i Arbets-Excel
