Parser 3.0 precision report

Matched: 0
Missing: 0
Extra: 274
Passed: False

EXTRA
- 2.1 | en- och tvåbostadshus |  |  | Extra parser row
- 6.1.2 | absorbermedel, filtermaterial |  | kilogram | Extra parser row
- 6.1.2 | oljefilter |  | kilogram | Extra parser row
- 6.1.2 | bromsvätska |  | kilogram | Extra parser row
- 6.1.2 | transformator, kondensator med pcb |  | kilogram | Extra parser row
- 6.1.2 | fogskum |  | kilogram | Extra parser row
- 6.1.2 | halon |  | kilogram | Extra parser row
- 6.1.2 | koldioxid |  | kilogram | Extra parser row
- 6.1.2 | brandsläckare |  | kilogram | Extra parser row
- 6.1.2 | helium |  | kilogram | Extra parser row
- 6.1.2 | tändare |  | kilogram | Extra parser row
- 6.1.2 | syrgas |  | kilogram | Extra parser row
- 6.1.2 | oxiderande fast ämne/vätska |  | kilogram | Extra parser row
- 6.1.2 | klorex |  | kilogram | Extra parser row
- 6.1.2 | aerosoler isocyanat, bekämpning |  | kilogram | Extra parser row
- 6.1.2 | gasol inkl tub |  | kilogram | Extra parser row
- 6.1.2 | gasol, blå programmet |  | kilogram | Extra parser row
- 6.1.2 | giftig organisk vätska |  | kilogram | Extra parser row
- 6.1.2 | småkemikalier, ej hg-haltiga |  | kilogram | Extra parser row
- 6.1.2 | giftig oorganisk vätska |  | kilogram | Extra parser row
- 6.1.2 | oxidationsmedel, flytande |  | kilogram | Extra parser row
- 6.1.2 | asbest, emballerat |  | kilogram | Extra parser row
- 6.1.2 | smittförande avfall |  | kilogram | Extra parser row
- 6.1.2 | lösningsmedel |  | kilogram | Extra parser row
- 6.1.2 | väteperoxid |  | kilogram | Extra parser row
- 6.1.2 | flourvätesyra |  | kilogram | Extra parser row
- 6.1.2 | svavelsyra |  | kilogram | Extra parser row
- 6.1.2 | salpetersyra |  | kilogram | Extra parser row
- 6.1.2 | surt oorganisk fast ämne |  | kilogram | Extra parser row
- 6.1.2 | surt organisk fast ämne |  | kilogram | Extra parser row
- 6.1.2 | surt oorganisk vätska |  | kilogram | Extra parser row
- 6.1.2 | surt organisk vätska |  | kilogram | Extra parser row
- 6.1.2 | ammoniaklösning |  | kilogram | Extra parser row
- 6.1.2 | alkaliskt avfall fast |  | kilogram | Extra parser row
- 6.1.2 | basiskt organiskt fast/flytande |  | kilogram | Extra parser row
- 6.1.2 | fotokemikalier |  | kilogram | Extra parser row
- 6.1.2 | bekämpningsmedel aerosoler |  | kilogram | Extra parser row
- 6.1.2 | bekämpningsmedel fast |  | kilogram | Extra parser row
- 6.1.2 | bekämpningsmedel flytande |  | kilogram | Extra parser row
- 6.1.2 | kvicksilverhaltigt avfall |  | kilogram | Extra parser row
- 6.1.2 | kvicksilver i föremål |  | kilogram | Extra parser row
- 6.1.2 | oljehaltigt avfall (ej pcb) |  | liter | Extra parser row
- 6.1.2 | olja förorenad (ej pcb) |  | liter | Extra parser row
- 6.1.2 | färg-, lack-, limburkar lösning |  | kilogram | Extra parser row
- 6.1.2 | färg-, lack-, limburkar lösning aerosoler |  | kilogram | Extra parser row
- 6.1.2 | isocyanater |  | kilogram | Extra parser row
- 6.1.2 | härdare metyl- etylketonperoxid |  | kilogram | Extra parser row
- 6.1.2 | härdare dibenzoylperoxid |  | kilogram | Extra parser row
- 6.1.2 | färg-,lack-, limburkar vattenbaserade |  | kilogram | Extra parser row
- 6.1.2 | tensida alkaliska flytande avfall |  | kilogram | Extra parser row
